session,bash-count,shell-count,exit-count,help-count,passwd-count,chpass-count,usradd-count,sh-count,bslash-count,fslash-count,perl-count,python-count,chmod-count,sudo-count,rm-count,history-count,cat-count,uname-count,wc-count,crontab-count,w-count,ps-count,free-count,lscpu-count,nproc-count,uptime-count,wget-count,tftp-count,scp-count,ping-count,kill-count,reboot-count,r1-count,r2-count,r3-count,rcd1-size,rcd2_size,mlen-count,url_count,prot,src,ssh_client,duration,rcd_size,continet,cntry,regioin-code,city-name,lat,long,region-code,target
2433,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,10,1,31,0,0,2,2.0,0.878088951,4,2,13,7,12,-8.95,51.9,7,2
6210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,7,2,31,0,0,0,0.0,0.908613205,7,2,13,7,12,-8.95,51.9,7,0
3623,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,3,9,3,31,0,0,1,1.0,0.842463017,10,2,13,7,12,-8.95,51.9,7,1
923,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,2,5,31,0,0,0,0.0,0.883978128,8,2,21,53,52,30.2642,59.8944,53,0
4669,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,7,4,31,0,0,2,2.0,1.205677032,9,2,13,7,12,-8.95,51.9,7,2
7964,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,8,3,31,0,0,1,1.0,1.74812603,6,2,13,7,12,-8.95,51.9,7,1
4038,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,5,2,31,0,0,2,2.0,1.908604145,4,5,4,45,44,-79.359,43.745,45,2
9157,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,32,0,1,0,0.0,31.84312105,7,1,14,31,9,34.8044,31.9642,31,0
9191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,31,0,0,0,0.0,0.955024958,3,2,19,62,51,4.663,51.8656,62,0
2227,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,7,1,31,0,0,1,1.0,1.22164607,4,2,13,7,12,-8.95,51.9,7,1
